         312191 function calls (312043 primitive calls) in 6.328 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       43    0.002    0.000    0.010    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/filter.py:129(filter)
     1342    0.002    0.000    0.005    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/filter.py:538(matches_tag)
     2622    0.002    0.000    0.007    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/filter.py:717(match)
     4015    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:349(inner)
        1    0.001    0.001    0.001    0.001 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/requests/models.py:909(text)
     1700    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x10854f2f0}
     2121    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2545    0.001    0.000    0.001    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/__init__.py:1065(handle_data)
       11    0.001    0.000    0.108    0.010 {method 'join' of 'bytes' objects}
      378    0.001    0.000    0.003    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/filter.py:612(_attribute_match)
     6007    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:2246(cast)
     2647    0.001    0.000    0.001    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/element.py:2763(descendants)
     1933    0.001    0.000    0.001    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/builder/__init__.py:290(can_be_empty_element)
     2633    0.001    0.000    0.001    0.000 {built-in method builtins.next}
     4230    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1933    0.001    0.000    0.001    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/builder/__init__.py:636(set_up_substitutions)
        2    0.001    0.000    0.001    0.000 {built-in method io.open_code}
     1707    0.001    0.000    0.001    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/filter.py:259(_base_match)
      718    0.001    0.000    0.002    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/filter.py:623(_match_attribute_value_helper)
     1329    0.000    0.000    0.001    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/filter.py:292(matches_string)
     2377    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      223    0.000    0.000    0.951    0.004 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/ssl.py:1267(recv_into)
      223    0.000    0.000    0.951    0.004 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/socket.py:692(readinto)
     1932    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/builder/_lxml.py:401(_prefix_for_namespace)
       45    0.000    0.000    0.102    0.002 {method 'read' of '_io.BufferedReader' objects}
     1888    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1992    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       29    0.000    0.000    0.004    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/urllib3/response.py:122(decompress)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       18    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      223    0.000    0.000    0.950    0.004 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/ssl.py:1125(read)
        1    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
      465    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/element.py:2160(get)
