         369190 function calls (367381 primitive calls) in 1.167 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       88    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     2504    0.002    0.000    0.004    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/builder/_lxml.py:442(data)
        1    0.002    0.002    0.004    0.004 {method 'read' of '_io.TextIOWrapper' objects}
4247/4236    0.002    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:349(inner)
     3386    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.002    0.002    0.010    0.010 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/fake_useragent/fake.py:224(_filter_useragents)
    11061    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     1920    0.002    0.000    0.010    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/__init__.py:1053(handle_endtag)
     1375    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
       43    0.002    0.000    0.010    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/filter.py:129(filter)
     1328    0.002    0.000    0.005    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/filter.py:538(matches_tag)
     2603    0.002    0.000    0.007    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/filter.py:717(match)
      145    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
       87    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      172    0.001    0.000    0.737    0.004 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/httpcore/_sync/http11.py:209(_receive_event)
     2567    0.001    0.000    0.001    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/__init__.py:1065(handle_data)
3810/3809    0.001    0.000    0.002    0.000 {built-in method builtins.next}
     2509    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      380    0.001    0.000    0.006    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_connection.py:426(next_event)
       24    0.001    0.000    0.012    0.001 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:884(_process_class)
       87    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
       98    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
      375    0.001    0.000    0.003    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/filter.py:612(_attribute_match)
     6157    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:2246(cast)
    35/13    0.001    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:507(_parse)
     2628    0.001    0.000    0.001    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/element.py:2763(descendants)
  360/359    0.001    0.000    0.002    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_readers.py:157(__call__)
      950    0.001    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1290(__setattr__)
      819    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      174    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      819    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        5    0.001    0.000    0.075    0.015 {method 'join' of 'bytes' objects}
      600    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:104(__init__)
     4240    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1921    0.001    0.000    0.001    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/builder/__init__.py:290(can_be_empty_element)
      208    0.001    0.000    0.727    0.003 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/httpcore/_backends/sync.py:124(read)
      380    0.001    0.000    0.003    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_connection.py:398(_extract_next_receive_event)
     1921    0.001    0.000    0.001    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/builder/__init__.py:636(set_up_substitutions)
    102/5    0.001    0.000    0.090    0.018 <frozen importlib._bootstrap>:1165(_find_and_load)
      175    0.001    0.000    0.002    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_connection.py:260(_process_event)
      183    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:168(_type_check)
     1689    0.001    0.000    0.001    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/filter.py:259(_base_match)
     1059    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1238(_is_dunder)
      599    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:141(__exit__)
      126    0.001    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1346(__init__)
      712    0.001    0.000    0.001    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/filter.py:623(_match_attribute_value_helper)
    101/4    0.000    0.000    0.090    0.022 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     2115    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     1314    0.000    0.000    0.001    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/filter.py:292(matches_string)
      213    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
       53    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       89    0.000    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:413(_create_fn)
      152    0.000    0.000    0.002    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/typing_extensions.py:3029(_collect_parameters)
       91    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
       87    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      600    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:287(helper)
      111    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     91/4    0.000    0.000    0.089    0.022 <frozen importlib._bootstrap>:666(_load_unlocked)
       98    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
      786    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2045    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      600    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:132(__enter__)
      175    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_state.py:318(_fire_state_triggered_transitions)
      171    0.000    0.000    0.069    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/httpcore/_sync/http11.py:196(_receive_response_body)
      152    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
